Date,FajrBegins,FajrJamaat,ZuhrBegins,ZuhrJamaat,AsrBegins,AsrJamaat,MaghribBegins,MaghribJamaat,IshaBegins,IshaJamaat,Sunrise,Sunset,SubSadiq,Zawaal
2021-09-26,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-09-27,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-09-28,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-09-29,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-09-30,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-10-01,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-10-02,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-10-03,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-10-04,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-10-05,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04
2021-10-06,10:00,10:10,13:00,13:10,15:00,15:10,20:32,20:33,21:00,21:10,01:01,02:02,03:03,04:04